name,year_month,month_type,root_cause,signal_mismatch,return_mismatch,prod_signal,gs_signal,prod_return,gs_return,diff_return
シン白虎-激攻,2013-06,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TQQQ,-0.1100393364,-0.0600035588143758,0.050035777585624205
シン白虎-激攻,2017-01,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,TECL,GLD,0.1203940952,0.0459770186941042,0.0744170765058958
シン白虎-激攻,2017-02,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,TECL,GLD,0.1255718033,0.0289551682259483,0.0966166350740517
シン白虎-激攻,2017-03,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,TECL,GLD,0.0503123482,0.00601796121606,0.044294386983940004
シン白虎-激攻,2017-10,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TECL,-0.0015680021,0.2084673422854714,0.2100353443854714
シン白虎-激攻,2017-11,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TECL,-0.0003306407,0.0022010571921378,0.0025316978921378
シン白虎-激攻,2017-12,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TECL,0.0307590635,0.0414258559164042,0.0106667924164042
シン白虎-激攻,2018-07,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TECL,-0.0215772808,0.105181952338105,0.126759233138105
シン白虎-激攻,2018-08,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TECL,-0.0249070079,0.1641470803966527,0.1890540882966527
シン白虎-激攻,2018-09,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TECL,-0.0031041993,0.0169334487365315,0.020037648036531498
シン白虎-激攻,2019-07,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TECL,0.0065369461,0.0306166184648988,0.024079672364898802
シン白虎-激攻,2019-08,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TECL,0.0946987518,-0.0982587702636369,0.1929575220636369
シン白虎-激攻,2019-09,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TECL,-0.0475303468,0.0774978322964654,0.1250281790964654
シン白虎-激攻,2023-10,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,TQQQ,GLD,-0.0748527563,0.0803619119891525,0.1552146682891525
シン白虎-激攻,2023-11,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,TQQQ,GLD,0.317878844,0.0266434331951128,0.2912354108048872
