pid,name,year_month,prod_signal,prod_holding_signal
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-06,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-07,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-08,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-09,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-10,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-11,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2019-12,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-01,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-02,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-03,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-04,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-05,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-06,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-07,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-08,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-09,"TECL,TQQQ","TECL,TQQQ"
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2020-10,"TECL,TQQQ","TECL,TQQQ"
